dnaSampleID,Site,Date,Type,Source,aquMicrobeType,MetaSample,WQGroup,WatershedArea,Latitude,Longitude,Elevation,NLCD_11,NLCD_12,NLCD_2,NLCD_31,NLCD_4,NLCD_5,NLCD_7,NLCD_81,NLCD_82,NLCD_90,NLCD_95,NRCS_ALF,NRCS_ARI,NRCS_AND,NRCS_ENT,NRCS_GEL,NRCS_HIS,NRCS_INC,NRCS_MOL,NRCS_OXI,NRCS_SPO,NRCS_ULT,NRCS_VER,NRCS_WATER,SW_PARavg,SW_TempAvg,SW_SpCondAvg,SW_DOAvg,SW_DOSatAvg,SW_pHAvg,SW_TurbAvg,SW_Qavg,SW_Runoffavg,SW_Alkalinity,SW_Br,SW_Ca,SW_Cl,SW_CO3,SW_DIC,SW_DOC,SW_F,SW_Fe,SW_HCO3,SW_K,SW_Mg,SW_Mn,SW_Na,SW_NH4,SW_NO3NO2,SW_OrthoP,SW_Si,SW_SO4,SW_TDN,SW_TDP,SW_TDS,SW_TN,SW_TOC,SW_TP,SW_TPC,SW_TSS,SW_UVAbsorbance_280nm,SW_UVAbsorbance_254nm,Sed_Perc2mmSieve,Sed_Al,Sed_Alkalinity,Sed_Ba,Sed_Be,Sed_Ca,Sed_Cd,Sed_PercClay,Sed_CO3,Sed_Conductivity,Sed_Cr,Sed_Cu,Sed_Fe,Sed_HCO3,Sed_Hg,Sed_K,Sed_Mg,Sed_Mn,Sed_Mo,Sed_Na,Sed_NH4,Sed_Ni,Sed_NO3NO2,Sed_OH,Sed_Pb,Sed_PercSolids,Sed_pH,Sed_PercSand,Sed_Sb,Sed_PercSilt,Sed_Sn,Sed_TC,Sed_Ti,Sed_TN,Sed_TP,Sed_TOC,Sed_Zn
ARIK.20190319.EPIPHYTON.3.DNA-DNA1,ARIK,3/19/19,Stream,Benthic,epiphyton,0,6,2631.8255,39.75836637,-102.4485677,1179,0.0285,0,2.1559,0.0044,0.0327,1.4112,41.8318,2.6356,51.484,0.1467,0.2693,8.226156,0.0525857,0,16.328964,0,0,6.534092,68.848497,0,0,0,0,0,397.93,8.18,482.19,8.85,74.23,8.17,39.95,47.2,0,4.76,0.005,60.932,4.852,0.005,NA,NA,0.291,0.022,304.28,7.137,14.91,0.003,17.73,NA,NA,NA,19.734,5.796,NA,NA,365.66,NA,NA,0.164,877.786,2,0.1144,0.0767,93.01,668,8.18,19.7,0.06,715,0.07,1.89,2,0.52,0.81,0.5,1400.38,8.18,1.21,227.5,197.5,19.41,1,11.25,0.27,0.5,0.42,2,0.98,79.1,7.53,96.88,0.1,1.28,2.25,1.5,52.73,0.02,66.25,1.23,2.38
ARIK.20190319.EPIPHYTON.4.DNA-DNA1,ARIK,3/19/19,Stream,Benthic,epiphyton,0,6,2631.8255,39.75836637,-102.4485677,1179,0.0285,0,2.1559,0.0044,0.0327,1.4112,41.8318,2.6356,51.484,0.1467,0.2693,8.226156,0.0525857,0,16.328964,0,0,6.534092,68.848497,0,0,0,0,0,397.93,8.18,482.19,8.85,74.23,8.17,39.95,47.2,0,4.76,0.005,60.932,4.852,0.005,NA,NA,0.291,0.022,304.28,7.137,14.91,0.003,17.73,NA,NA,NA,19.734,5.796,NA,NA,365.66,NA,NA,0.164,877.786,2,0.1144,0.0767,93.01,668,8.18,19.7,0.06,715,0.07,1.89,2,0.52,0.81,0.5,1400.38,8.18,1.21,227.5,197.5,19.41,1,11.25,0.27,0.5,0.42,2,0.98,79.1,7.53,96.88,0.1,1.28,2.25,1.5,52.73,0.02,66.25,1.23,2.38
ARIK.20190319.EPIPHYTON.5.DNA-DNA1,ARIK,3/19/19,Stream,Benthic,epiphyton,0,6,2631.8255,39.75836637,-102.4485677,1179,0.0285,0,2.1559,0.0044,0.0327,1.4112,41.8318,2.6356,51.484,0.1467,0.2693,8.226156,0.0525857,0,16.328964,0,0,6.534092,68.848497,0,0,0,0,0,397.93,8.18,482.19,8.85,74.23,8.17,39.95,47.2,0,4.76,0.005,60.932,4.852,0.005,NA,NA,0.291,0.022,304.28,7.137,14.91,0.003,17.73,NA,NA,NA,19.734,5.796,NA,NA,365.66,NA,NA,0.164,877.786,2,0.1144,0.0767,93.01,668,8.18,19.7,0.06,715,0.07,1.89,2,0.52,0.81,0.5,1400.38,8.18,1.21,227.5,197.5,19.41,1,11.25,0.27,0.5,0.42,2,0.98,79.1,7.53,96.88,0.1,1.28,2.25,1.5,52.73,0.02,66.25,1.23,2.38
ARIK.20190319.EPIPSAMMON.1.DNA-DNA1,ARIK,3/19/19,Stream,Benthic,epipsammon,0,6,2631.8255,39.75836637,-102.4485677,1179,0.0285,0,2.1559,0.0044,0.0327,1.4112,41.8318,2.6356,51.484,0.1467,0.2693,8.226156,0.0525857,0,16.328964,0,0,6.534092,68.848497,0,0,0,0,0,397.93,8.18,482.19,8.85,74.23,8.17,39.95,47.2,0,4.76,0.005,60.932,4.852,0.005,NA,NA,0.291,0.022,304.28,7.137,14.91,0.003,17.73,NA,NA,NA,19.734,5.796,NA,NA,365.66,NA,NA,0.164,877.786,2,0.1144,0.0767,93.01,668,8.18,19.7,0.06,715,0.07,1.89,2,0.52,0.81,0.5,1400.38,8.18,1.21,227.5,197.5,19.41,1,11.25,0.27,0.5,0.42,2,0.98,79.1,7.53,96.88,0.1,1.28,2.25,1.5,52.73,0.02,66.25,1.23,2.38
ARIK.20190319.EPIPSAMMON.2.DNA-DNA1,ARIK,3/19/19,Stream,Benthic,epipsammon,0,6,2631.8255,39.75836637,-102.4485677,1179,0.0285,0,2.1559,0.0044,0.0327,1.4112,41.8318,2.6356,51.484,0.1467,0.2693,8.226156,0.0525857,0,16.328964,0,0,6.534092,68.848497,0,0,0,0,0,397.93,8.18,482.19,8.85,74.23,8.17,39.95,47.2,0,4.76,0.005,60.932,4.852,0.005,NA,NA,0.291,0.022,304.28,7.137,14.91,0.003,17.73,NA,NA,NA,19.734,5.796,NA,NA,365.66,NA,NA,0.164,877.786,2,0.1144,0.0767,93.01,668,8.18,19.7,0.06,715,0.07,1.89,2,0.52,0.81,0.5,1400.38,8.18,1.21,227.5,197.5,19.41,1,11.25,0.27,0.5,0.42,2,0.98,79.1,7.53,96.88,0.1,1.28,2.25,1.5,52.73,0.02,66.25,1.23,2.38
ARIK.20190319.EPIPSAMMON.3.DNA-DNA1,ARIK,3/19/19,Stream,Benthic,epipsammon,0,6,2631.8255,39.75836637,-102.4485677,1179,0.0285,0,2.1559,0.0044,0.0327,1.4112,41.8318,2.6356,51.484,0.1467,0.2693,8.226156,0.0525857,0,16.328964,0,0,6.534092,68.848497,0,0,0,0,0,397.93,8.18,482.19,8.85,74.23,8.17,39.95,47.2,0,4.76,0.005,60.932,4.852,0.005,NA,NA,0.291,0.022,304.28,7.137,14.91,0.003,17.73,NA,NA,NA,19.734,5.796,NA,NA,365.66,NA,NA,0.164,877.786,2,0.1144,0.0767,93.01,668,8.18,19.7,0.06,715,0.07,1.89,2,0.52,0.81,0.5,1400.38,8.18,1.21,227.5,197.5,19.41,1,11.25,0.27,0.5,0.42,2,0.98,79.1,7.53,96.88,0.1,1.28,2.25,1.5,52.73,0.02,66.25,1.23,2.38
ARIK.20190715.EPIPHYTON.1.DNA-DNA2,ARIK,7/15/19,Stream,Benthic,epiphyton,0,6,2631.8255,39.75836637,-102.4485677,1179,0.0285,0,2.1559,0.0044,0.0327,1.4112,41.8318,2.6356,51.484,0.1467,0.2693,8.226156,0.0525857,0,16.328964,0,0,6.534092,68.848497,0,0,0,0,0,460.79,23.7,545.98,3.22,36.64,7.41,6.36,51.59,0,5.99,0.07,71.402,3.886,0.005,81.63,5.729,0.886,0.01,389.63,8.632,20.4,0.931,24.33,0.002,0.004,0.033,49.22,1.44,0.287,0.009,458.11,0.433,5.172,0.283,"1,341.94",4,0.1387,0.0972,93.01,668,8.18,19.7,0.06,715,0.07,1.89,2,0.52,0.81,0.5,1400.38,8.18,1.21,227.5,197.5,19.41,1,11.25,0.27,0.5,0.42,2,0.98,79.1,7.53,96.88,0.1,1.28,2.25,1.5,52.73,0.02,66.25,1.23,2.38
ARIK.20190715.EPIPHYTON.2.DNA-DNA1,ARIK,7/15/19,Stream,Benthic,epiphyton,0,6,2631.8255,39.75836637,-102.4485677,1179,0.0285,0,2.1559,0.0044,0.0327,1.4112,41.8318,2.6356,51.484,0.1467,0.2693,8.226156,0.0525857,0,16.328964,0,0,6.534092,68.848497,0,0,0,0,0,460.79,23.7,545.98,3.22,36.64,7.41,6.36,51.59,0,5.99,0.07,71.402,3.886,0.005,81.63,5.729,0.886,0.01,389.63,8.632,20.4,0.931,24.33,0.002,0.004,0.033,49.22,1.44,0.287,0.009,458.11,0.433,5.172,0.283,"1,341.94",4,0.1387,0.0972,93.01,668,8.18,19.7,0.06,715,0.07,1.89,2,0.52,0.81,0.5,1400.38,8.18,1.21,227.5,197.5,19.41,1,11.25,0.27,0.5,0.42,2,0.98,79.1,7.53,96.88,0.1,1.28,2.25,1.5,52.73,0.02,66.25,1.23,2.38
ARIK.20190715.EPIPHYTON.3.DNA-DNA1,ARIK,7/15/19,Stream,Benthic,epiphyton,0,6,2631.8255,39.75836637,-102.4485677,1179,0.0285,0,2.1559,0.0044,0.0327,1.4112,41.8318,2.6356,51.484,0.1467,0.2693,8.226156,0.0525857,0,16.328964,0,0,6.534092,68.848497,0,0,0,0,0,460.79,23.7,545.98,3.22,36.64,7.41,6.36,51.59,0,5.99,0.07,71.402,3.886,0.005,81.63,5.729,0.886,0.01,389.63,8.632,20.4,0.931,24.33,0.002,0.004,0.033,49.22,1.44,0.287,0.009,458.11,0.433,5.172,0.283,"1,341.94",4,0.1387,0.0972,93.01,668,8.18,19.7,0.06,715,0.07,1.89,2,0.52,0.81,0.5,1400.38,8.18,1.21,227.5,197.5,19.41,1,11.25,0.27,0.5,0.42,2,0.98,79.1,7.53,96.88,0.1,1.28,2.25,1.5,52.73,0.02,66.25,1.23,2.38
ARIK.20190715.EPIPHYTON.4.DNA-DNA1,ARIK,7/15/19,Stream,Benthic,epiphyton,0,6,2631.8255,39.75836637,-102.4485677,1179,0.0285,0,2.1559,0.0044,0.0327,1.4112,41.8318,2.6356,51.484,0.1467,0.2693,8.226156,0.0525857,0,16.328964,0,0,6.534092,68.848497,0,0,0,0,0,460.79,23.7,545.98,3.22,36.64,7.41,6.36,51.59,0,5.99,0.07,71.402,3.886,0.005,81.63,5.729,0.886,0.01,389.63,8.632,20.4,0.931,24.33,0.002,0.004,0.033,49.22,1.44,0.287,0.009,458.11,0.433,5.172,0.283,"1,341.94",4,0.1387,0.0972,93.01,668,8.18,19.7,0.06,715,0.07,1.89,2,0.52,0.81,0.5,1400.38,8.18,1.21,227.5,197.5,19.41,1,11.25,0.27,0.5,0.42,2,0.98,79.1,7.53,96.88,0.1,1.28,2.25,1.5,52.73,0.02,66.25,1.23,2.38
ARIK.20190715.EPIPHYTON.5.DNA-DNA1,ARIK,7/15/19,Stream,Benthic,epiphyton,0,6,2631.8255,39.75836637,-102.4485677,1179,0.0285,0,2.1559,0.0044,0.0327,1.4112,41.8318,2.6356,51.484,0.1467,0.2693,8.226156,0.0525857,0,16.328964,0,0,6.534092,68.848497,0,0,0,0,0,460.79,23.7,545.98,3.22,36.64,7.41,6.36,51.59,0,5.99,0.07,71.402,3.886,0.005,81.63,5.729,0.886,0.01,389.63,8.632,20.4,0.931,24.33,0.002,0.004,0.033,49.22,1.44,0.287,0.009,458.11,0.433,5.172,0.283,"1,341.94",4,0.1387,0.0972,93.01,668,8.18,19.7,0.06,715,0.07,1.89,2,0.52,0.81,0.5,1400.38,8.18,1.21,227.5,197.5,19.41,1,11.25,0.27,0.5,0.42,2,0.98,79.1,7.53,96.88,0.1,1.28,2.25,1.5,52.73,0.02,66.25,1.23,2.38
ARIK.20190715.EPIPSAMMON.1.DNA-DNA1,ARIK,7/15/19,Stream,Benthic,epipsammon,1,6,2631.8255,39.75836637,-102.4485677,1179,0.0285,0,2.1559,0.0044,0.0327,1.4112,41.8318,2.6356,51.484,0.1467,0.2693,8.226156,0.0525857,0,16.328964,0,0,6.534092,68.848497,0,0,0,0,0,460.79,23.7,545.98,3.22,36.64,7.41,6.36,51.59,0,5.99,0.07,71.402,3.886,0.005,81.63,5.729,0.886,0.01,389.63,8.632,20.4,0.931,24.33,0.002,0.004,0.033,49.22,1.44,0.287,0.009,458.11,0.433,5.172,0.283,"1,341.94",4,0.1387,0.0972,93.01,668,8.18,19.7,0.06,715,0.07,1.89,2,0.52,0.81,0.5,1400.38,8.18,1.21,227.5,197.5,19.41,1,11.25,0.27,0.5,0.42,2,0.98,79.1,7.53,96.88,0.1,1.28,2.25,1.5,52.73,0.02,66.25,1.23,2.38
ARIK.20190715.EPIPSAMMON.2.DNA-DNA1,ARIK,7/15/19,Stream,Benthic,epipsammon,1,6,2631.8255,39.75836637,-102.4485677,1179,0.0285,0,2.1559,0.0044,0.0327,1.4112,41.8318,2.6356,51.484,0.1467,0.2693,8.226156,0.0525857,0,16.328964,0,0,6.534092,68.848497,0,0,0,0,0,460.79,23.7,545.98,3.22,36.64,7.41,6.36,51.59,0,5.99,0.07,71.402,3.886,0.005,81.63,5.729,0.886,0.01,389.63,8.632,20.4,0.931,24.33,0.002,0.004,0.033,49.22,1.44,0.287,0.009,458.11,0.433,5.172,0.283,"1,341.94",4,0.1387,0.0972,93.01,668,8.18,19.7,0.06,715,0.07,1.89,2,0.52,0.81,0.5,1400.38,8.18,1.21,227.5,197.5,19.41,1,11.25,0.27,0.5,0.42,2,0.98,79.1,7.53,96.88,0.1,1.28,2.25,1.5,52.73,0.02,66.25,1.23,2.38
ARIK.20190715.EPIPSAMMON.3.DNA-DNA1,ARIK,7/15/19,Stream,Benthic,epipsammon,1,6,2631.8255,39.75836637,-102.4485677,1179,0.0285,0,2.1559,0.0044,0.0327,1.4112,41.8318,2.6356,51.484,0.1467,0.2693,8.226156,0.0525857,0,16.328964,0,0,6.534092,68.848497,0,0,0,0,0,460.79,23.7,545.98,3.22,36.64,7.41,6.36,51.59,0,5.99,0.07,71.402,3.886,0.005,81.63,5.729,0.886,0.01,389.63,8.632,20.4,0.931,24.33,0.002,0.004,0.033,49.22,1.44,0.287,0.009,458.11,0.433,5.172,0.283,"1,341.94",4,0.1387,0.0972,93.01,668,8.18,19.7,0.06,715,0.07,1.89,2,0.52,0.81,0.5,1400.38,8.18,1.21,227.5,197.5,19.41,1,11.25,0.27,0.5,0.42,2,0.98,79.1,7.53,96.88,0.1,1.28,2.25,1.5,52.73,0.02,66.25,1.23,2.38
ARIK.20191007.EPIPHYTON.1.DNA-DNA1,ARIK,10/7/19,Stream,Benthic,epiphyton,0,6,2631.8255,39.75836637,-102.4485677,1179,0.0285,0,2.1559,0.0044,0.0327,1.4112,41.8318,2.6356,51.484,0.1467,0.2693,8.226156,0.0525857,0,16.328964,0,0,6.534092,68.848497,0,0,0,0,0,308.13,10.11,607.91,4.97,44.52,7.99,25.01,8.88,0,6.78,0.005,70.65,6.1,0.005,85.63,5.937,0.005,0.002,403.28,11.25,21.8,0.001,28.69,0.016,0.003,0.056,24.15,5.13,0.345,1.218,492.65,0.393,6.423,0.14,"17,750.25",24,0.2424,0.168,93.01,668,8.18,19.7,0.06,715,0.07,1.89,2,0.52,0.81,0.5,1400.38,8.18,1.21,227.5,197.5,19.41,1,11.25,0.27,0.5,0.42,2,0.98,79.1,7.53,96.88,0.1,1.28,2.25,1.5,52.73,0.02,66.25,1.23,2.38
ARIK.20191007.EPIPHYTON.2.DNA-DNA1,ARIK,10/7/19,Stream,Benthic,epiphyton,0,6,2631.8255,39.75836637,-102.4485677,1179,0.0285,0,2.1559,0.0044,0.0327,1.4112,41.8318,2.6356,51.484,0.1467,0.2693,8.226156,0.0525857,0,16.328964,0,0,6.534092,68.848497,0,0,0,0,0,308.13,10.11,607.91,4.97,44.52,7.99,25.01,8.88,0,6.78,0.005,70.65,6.1,0.005,85.63,5.937,0.005,0.002,403.28,11.25,21.8,0.001,28.69,0.016,0.003,0.056,24.15,5.13,0.345,1.218,492.65,0.393,6.423,0.14,"17,750.25",24,0.2424,0.168,93.01,668,8.18,19.7,0.06,715,0.07,1.89,2,0.52,0.81,0.5,1400.38,8.18,1.21,227.5,197.5,19.41,1,11.25,0.27,0.5,0.42,2,0.98,79.1,7.53,96.88,0.1,1.28,2.25,1.5,52.73,0.02,66.25,1.23,2.38
